📡　央视,#genre#
CCTV13新闻,http://127.0.0.1
CCTV1综合,http://127.0.0.1
CCTV2财经,http://127.0.0.1
CCTV3综艺,http://127.0.0.1
CCTV4中文国际,http://127.0.0.1
CCTV4美洲,http://127.0.0.1
CCTV4欧洲,http://127.0.0.1
CCTV5体育,http://127.0.0.1
CCTV5+体育赛事,http://127.0.0.1
CCTV6电影,http://127.0.0.1
CCTV7国防军事,http://127.0.0.1
CCTV8电视剧,http://127.0.0.1
CCTV9纪录,http://127.0.0.1
CCTV10科教,http://127.0.0.1
CCTV11戏曲,http://127.0.0.1
CCTV12社会与法,http://127.0.0.1
CCTV14少儿,http://127.0.0.1
CCTV15音乐,http://127.0.0.1
CCTV16奥林匹克,http://127.0.0.1
CCTV17农业农村,http://127.0.0.1
CCTV4K高清,http://127.0.0.1
CCTV重温经典,http://127.0.0.1
CCTV兵器科技,http://127.0.0.1
CCTV世界地理,http://127.0.0.1
CCTV卫生健康,http://127.0.0.1
CCTV央视文化精品,http://127.0.0.1
CCTV女性时尚,http://127.0.0.1
CCTV第一剧场,http://127.0.0.1
CCTV怀旧剧场,http://127.0.0.1
CCTV热播剧场,http://127.0.0.1
CCTV经典电影,http://127.0.0.1
CCTV风云音乐,http://127.0.0.1
CCTV风云剧场,http://127.0.0.1
CCTV风云足球,http://127.0.0.1
CCTV高尔夫网球,http://127.0.0.1
CCTV央视台球,http://127.0.0.1
CCTV电视指南,http://127.0.0.1
CETV早期教育,http://127.0.0.1
CETV中国教育1,http://127.0.0.1
CETV中国教育2,http://127.0.0.1
CETV中国教育3,http://127.0.0.1
CETV中国教育4,http://127.0.0.1
中国交通,http://127.0.0.1
中国天气,http://127.0.0.1
CCTV7国防军事,http://8.138.7.223/tv/cctv7.m3u8
CCTV1综合,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV2财经,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV3综艺,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV4中文国际,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV5体育,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV5+体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV6电影,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV7国防军事,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV8电视剧,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV9纪录,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV10科教,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV11戏曲,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV12社会与法,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV13新闻,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV14少儿,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV15音乐,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV16奥林匹克,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV17农业农村,http://t.061899.xyz/tl/tl.php?id=cctv17
CCTV5+体育赛事,http://223.82.161.157:899/hls/501/index.m3u8
CCTV2财经,http://www.qhjx.top:18000/udp/238.255.2.11:5999
CCTV3综艺,http://www.qhjx.top:18000/udp/238.255.2.133:5999
CCTV4中文国际,http://www.qhjx.top:18000/udp/238.255.2.92:5999
CCTV4欧洲,http://www.qhjx.top:18000/udp/238.255.2.213:5999
CCTV4美洲,http://www.qhjx.top:18000/udp/238.255.2.214:5999
CCTV5体育,http://www.qhjx.top:18000/udp/238.255.2.134:5999
CCTV5+体育赛事,http://www.qhjx.top:18000/udp/238.255.2.185:5999
CCTV6电影,http://www.qhjx.top:18000/udp/238.255.2.135:5999
CCTV7国防军事,http://www.qhjx.top:18000/udp/238.255.2.12:5999
CCTV8电视剧,http://www.qhjx.top:18000/udp/238.255.2.136:5999
CCTV9纪录,http://www.qhjx.top:18000/udp/238.255.2.155:5999
CCTV10科教,http://www.qhjx.top:18000/udp/238.255.2.13:5999
CCTV11戏曲,http://www.qhjx.top:18000/udp/238.255.2.14:5999
CCTV13新闻,http://www.qhjx.top:18000/udp/238.255.2.16:5999
CCTV14少儿,http://www.qhjx.top:18000/udp/238.255.2.17:5999
CCTV15音乐,http://www.qhjx.top:18000/udp/238.255.2.18:5999
CCTV17农业农村,http://www.qhjx.top:18000/udp/238.255.2.137:5999
CCTV世界地理,http://www.qhjx.top:18000/udp/238.255.2.26:5999
CCTV风云剧场,http://www.qhjx.top:18000/udp/238.255.2.28:5999
CCTV女性时尚,http://www.qhjx.top:18000/udp/238.255.2.27:5999
CCTV央视台球,http://www.qhjx.top:18000/udp/238.255.2.224:5999
CCTV第一剧场,http://www.qhjx.top:18000/udp/238.255.2.25:5999
CCTV风云音乐,http://www.qhjx.top:18000/udp/238.255.2.24:5999
CCTV风云足球,http://www.qhjx.top:18000/udp/238.255.2.29:5999
CCTV怀旧剧场,http://www.qhjx.top:18000/udp/238.255.2.33:5999
CCTV卫生健康,http://www.qhjx.top:18000/udp/238.255.2.144:5999
CCTV央视文化精品,http://www.qhjx.top:18000/udp/238.255.2.32:5999
CCTV兵器科技,http://www.qhjx.top:18000/udp/238.255.2.34:5999
CCTV高尔夫网球,http://www.qhjx.top:18000/udp/238.255.2.223:5999
CCTV4K高清,http://www.qhjx.top:18000/udp/238.255.2.139:5999
CETV早期教育,http://www.qhjx.top:18000/udp/238.255.2.143:5999
CETV中国教育1,http://www.qhjx.top:18000/udp/238.255.2.105:5999
中华美食,http://www.qhjx.top:18000/udp/238.255.2.142:5999
CCTV13新闻,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV9纪录,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV5体育,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV4中文国际,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV9纪录,http://120.198.101.106:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17农业农村,http://120.198.101.106:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
